AREA_m2,BUILDING,SURFACE,TYPE,Xcoor,Xdir,Ycoor,Ydir,Zcoor,Zdir,orientation
36.79910884230739,B005,srf0,walls,371715.1641345205,-0.7426749462783203,140289.8119583366,-0.6696520918883881,2.75,0.0,west
21.770646385805698,B005,srf1,walls,371715.1641345205,-0.7426749462783203,140289.81195833662,-0.6696520918883881,2.3926569810212164,0.0,west
21.770646385792222,B005,srf2,walls,371694.7653046571,-0.7426749462783203,140312.43519815977,-0.6696520918883881,1.3573430189787836,0.0,west
36.799108842286174,B005,srf3,walls,371687.7245617383,-0.7426749462783203,140320.24370564052,-0.6696520918883881,1.3573430189787836,0.0,west
21.77064638578333,B005,srf4,walls,371660.2849889561,-0.7426749462783203,140350.67545294444,-0.6696520918883881,3.1073430189787836,0.0,west
36.79910884226957,B005,srf5,walls,371660.2849889562,-0.7426749462783203,140350.67545294447,-0.6696520918883881,2.75,0.0,west
36.799108842286195,B005,srf6,walls,371687.7245617383,-0.7426749462783203,140320.24370564052,-0.6696520918883881,4.142656981021216,0.0,west
21.7706463857922,B005,srf7,walls,371680.68381881947,-0.7426749462783203,140328.05221312123,-0.6696520918883881,4.142656981021217,0.0,west
36.79910884230739,B005,srf8,walls,371715.1641345205,-0.7426749462783203,140289.8119583366,-0.6696520918883881,6.25,0.0,west
21.770646385805698,B005,srf9,walls,371715.1641345205,-0.7426749462783203,140289.81195833662,-0.6696520918883881,5.892656981021217,0.0,west
21.770646385792222,B005,srf10,walls,371694.7653046571,-0.7426749462783203,140312.43519815977,-0.6696520918883881,4.857343018978783,0.0,west
36.79910884228616,B005,srf11,walls,371687.7245617383,-0.7426749462783203,140320.24370564052,-0.6696520918883881,4.857343018978783,0.0,west
21.770646385783337,B005,srf12,walls,371660.2849889561,-0.7426749462783203,140350.67545294444,-0.6696520918883881,6.607343018978783,0.0,west
36.799108842269575,B005,srf13,walls,371660.2849889562,-0.7426749462783203,140350.67545294447,-0.6696520918883881,6.25,0.0,west
36.799108842286195,B005,srf14,walls,371687.7245617383,-0.7426749462783203,140320.24370564052,-0.6696520918883881,7.642656981021216,0.0,west
21.7706463857922,B005,srf15,walls,371680.68381881947,-0.7426749462783203,140328.05221312123,-0.6696520918883881,7.642656981021217,0.0,west
36.79910884230739,B005,srf16,walls,371715.1641345205,-0.7426749462783203,140289.8119583366,-0.6696520918883881,9.75,0.0,west
21.770646385805723,B005,srf17,walls,371715.16413452046,-0.7426749462783203,140289.81195833656,-0.6696520918883881,9.392656981021217,0.0,west
21.770646385792183,B005,srf18,walls,371694.7653046571,-0.7426749462783203,140312.43519815977,-0.6696520918883881,8.357343018978783,0.0,west
36.79910884228613,B005,srf19,walls,371687.7245617383,-0.7426749462783203,140320.24370564052,-0.6696520918883881,8.357343018978783,0.0,west
21.77064638578335,B005,srf20,walls,371660.2849889561,-0.7426749462783203,140350.67545294444,-0.6696520918883881,10.107343018978783,0.0,west
36.79910884226958,B005,srf21,walls,371660.2849889562,-0.7426749462783203,140350.67545294447,-0.6696520918883881,9.75,0.0,west
36.79910884228613,B005,srf22,walls,371687.7245617383,-0.7426749462783203,140320.24370564052,-0.6696520918883881,11.142656981021217,0.0,west
21.77064638579218,B005,srf23,walls,371680.68381881947,-0.7426749462783203,140328.05221312123,-0.6696520918883881,11.142656981021217,0.0,west
36.79910884230739,B005,srf24,walls,371715.1641345205,-0.7426749462783203,140289.8119583366,-0.6696520918883881,13.25,0.0,west
21.77064638580572,B005,srf25,walls,371715.16413452046,-0.7426749462783203,140289.81195833656,-0.6696520918883881,12.892656981021217,0.0,west
21.770646385792183,B005,srf26,walls,371694.7653046571,-0.7426749462783203,140312.43519815977,-0.6696520918883881,11.857343018978783,0.0,west
36.79910884228613,B005,srf27,walls,371687.7245617383,-0.7426749462783203,140320.24370564052,-0.6696520918883881,11.857343018978783,0.0,west
21.77064638578335,B005,srf28,walls,371660.2849889561,-0.7426749462783203,140350.67545294444,-0.6696520918883881,13.607343018978783,0.0,west
36.79910884226958,B005,srf29,walls,371660.2849889562,-0.7426749462783203,140350.67545294447,-0.6696520918883881,13.25,0.0,west
36.799108842286145,B005,srf30,walls,371687.7245617383,-0.7426749462783203,140320.24370564052,-0.6696520918883881,14.642656981021217,0.0,west
21.770646385792183,B005,srf31,walls,371680.68381881947,-0.7426749462783203,140328.05221312123,-0.6696520918883881,14.642656981021217,0.0,west
36.799108842307405,B005,srf32,walls,371715.1641345205,-0.7426749462783203,140289.8119583366,-0.6696520918883881,16.75,0.0,west
21.77064638580572,B005,srf33,walls,371715.16413452046,-0.7426749462783203,140289.81195833656,-0.6696520918883881,16.39265698102122,0.0,west
21.770646385792187,B005,srf34,walls,371694.7653046571,-0.7426749462783203,140312.43519815977,-0.6696520918883881,15.357343018978783,0.0,west
36.79910884228613,B005,srf35,walls,371687.7245617383,-0.7426749462783203,140320.24370564052,-0.6696520918883881,15.357343018978783,0.0,west
21.77064638578335,B005,srf36,walls,371660.2849889561,-0.7426749462783203,140350.67545294444,-0.6696520918883881,17.107343018978785,0.0,west
36.79910884226958,B005,srf37,walls,371660.2849889562,-0.7426749462783203,140350.67545294447,-0.6696520918883881,16.75,0.0,west
36.799108842286145,B005,srf38,walls,371687.7245617383,-0.7426749462783203,140320.24370564052,-0.6696520918883881,18.142656981021215,0.0,west
21.770646385792183,B005,srf39,walls,371680.68381881947,-0.7426749462783203,140328.05221312123,-0.6696520918883881,18.14265698102122,0.0,west
