Ea,Ed,El,Epro,Qcre,Qhpro,Qs,Vw,Vww,X,people,ve
5054.190896729603,0.0,8282.754590254945,0.0,0.0,0.0,384.7982070078841,368.2907591822933,322.1409055838088,374.591034640265,341.8978850949806,542.9859757624616
4177.129375644634,0.0,7817.9464448147155,0.0,0.0,0.0,0.0,265.50265843399404,261.13845865147977,0.0,0.0,0.0
4731.672659007415,0.0,8024.372793105686,0.0,0.0,0.0,0.0,278.69834784795944,252.2389156816942,0.0,0.0,0.0
4371.526804993342,0.0,7138.432923205812,0.0,0.0,0.0,0.0,65.55596017807387,0.0,0.0,0.0,0.0
5285.7366555072895,0.0,8052.796179109629,0.0,0.0,0.0,0.0,66.60158421530505,0.0,0.0,0.0,0.0
6582.381498386878,0.0,8605.311315364652,0.0,0.0,0.0,0.0,70.30643301709436,0.0,0.0,0.0,0.0
7421.428607413903,0.0,9759.42001179389,0.0,0.0,0.0,378.9221832267275,60.22976155253128,0.0,385.0732350221583,365.3984409302029,490.7094402175035
7005.161106972904,0.0,10332.539623430794,0.0,0.0,0.0,3764.0170201501946,63.70303575231579,0.0,3619.9000551505624,3536.0733933258925,5190.068820630696
7622.768696514358,0.0,10005.596643707264,0.0,0.0,0.0,3339.285049304918,63.850717972515405,0.0,3587.6260004663172,3412.667031648703,5550.380477817779
9996.083831515823,0.0,10063.536161875165,0.0,0.0,0.0,2960.12722211249,770.1731849702267,880.057393348654,3036.5141440061493,2964.44998604499,4247.245170213817
10376.831353071162,0.0,11495.188816759077,0.0,0.0,0.0,1492.1358168098538,734.4627257196469,780.3373360104171,1465.3051269905939,1533.6921658514984,2015.0243879686896
11615.418757681637,0.0,10496.093934445376,0.0,0.0,0.0,3401.017896271551,836.3223213129115,851.428723224416,3156.7749690993314,3497.554036495105,4657.895801091381
10653.521490202076,0.0,11586.887132443517,0.0,0.0,0.0,4017.9280362906834,831.2733930705751,788.1236147067601,3312.873761395613,3287.415368549497,5290.567636924872
9871.812318445984,0.0,11755.161873920724,0.0,0.0,0.0,3366.805256465854,624.6571725252574,823.9023632126715,3547.2832193524555,3255.11308818704,4564.886092648606
9665.982596548982,0.0,9939.141075471209,0.0,0.0,0.0,2458.6994319618807,603.3413132863005,654.8755982319819,2521.9054467957517,2790.5753064049145,3316.647512517917
8830.173400694177,0.0,10967.826461458855,0.0,0.0,0.0,2235.922969790804,695.0051705407406,700.9170678500465,2293.284588181885,1997.1510311457048,3043.205256898515
10183.540637050479,0.0,10838.163074379361,0.0,0.0,0.0,2171.1841946403174,557.9867216113577,586.9849143350932,2297.118858450951,2113.4878674034258,3114.764644980022
10658.13654485311,0.0,11159.549202510414,0.0,0.0,0.0,2000.01720133252,615.8641472620512,711.5913769552891,2303.384791319398,2383.887299968695,2980.718563255195
9780.499188771628,0.0,10600.891257943844,0.0,0.0,0.0,5438.049898263041,888.2707715998359,872.4602276537443,4761.560352738778,5114.674924272679,7178.839333151883
9287.777032845932,0.0,11757.848173222434,0.0,0.0,0.0,6609.445817038255,861.9448874200694,1046.1786795246437,6037.333736515069,6872.79657899116,8880.35728887164
8788.147272861615,0.0,9944.62983148775,0.0,0.0,0.0,4665.384446367,772.3519655996922,796.7921483072727,4995.247984671164,5294.271515936549,7025.8578734091025
8444.561621754277,0.0,10587.778532997943,0.0,0.0,0.0,4716.9758011161975,855.335103542294,931.564201662213,5048.268280056813,4451.516423333038,6497.865397461959
5510.0471102259335,0.0,7675.579954026047,0.0,0.0,0.0,3892.19505728033,667.7001260485072,649.5222809346748,4042.537018642999,3953.457640300698,5493.161863519879
5073.138200384991,0.0,7589.474376819171,0.0,0.0,0.0,2656.916095304795,526.6759847302542,496.6492113941131,2447.9593567156007,2637.6271746248667,3582.787768675311
4834.088736659156,0.0,6763.371656435983,0.0,0.0,0.0,369.12966592745425,463.24502055973585,500.30435999731867,385.51800944106293,377.03972054674244,501.3324124847888
4773.466608079188,0.0,7661.0275281861195,0.0,0.0,0.0,0.0,393.61845975065205,358.240808850826,0.0,0.0,0.0
4746.0663469702,0.0,7061.554053977522,0.0,0.0,0.0,0.0,423.1177743018584,385.1115756215836,0.0,0.0,0.0
4821.25868260291,0.0,7323.722888641422,0.0,0.0,0.0,0.0,66.96026255307164,0.0,0.0,0.0,0.0
5174.275546609262,0.0,7874.755705210152,0.0,0.0,0.0,0.0,60.06209170361285,0.0,0.0,0.0,0.0
6972.179488207549,0.0,8186.744082687707,0.0,0.0,0.0,0.0,60.99463146271397,0.0,0.0,0.0,0.0
7449.229402403213,0.0,9395.528182614124,0.0,0.0,0.0,370.7409713056999,63.5304375326015,0.0,389.29228179647464,366.6249155631765,506.16611558582855
8206.722591907408,0.0,9228.234541639376,0.0,0.0,0.0,3574.5329462156383,58.571888971106475,0.0,3280.951381708883,3420.5983051988323,4909.490317447388
7857.493633475059,0.0,9469.99530263641,0.0,0.0,0.0,3754.111544688471,103.9009736309434,0.0,3791.097819556674,3458.3479471921937,4866.752511688479
9047.013558239805,0.0,9641.803394670591,0.0,0.0,0.0,1481.9287534401658,101.4567208747393,0.0,1558.686019882476,1436.3139031822095,1867.3113586381849
10291.517404263219,0.0,10443.25696640945,0.0,0.0,0.0,1512.416878323184,936.9970823510175,975.3670698761257,1379.7820473392737,1418.809635625467,1984.885077716103
10957.24635406734,0.0,11477.335392924235,0.0,0.0,0.0,2357.1861496438,917.8256170400805,975.8931560999324,2207.177516036963,2086.269020481439,3148.704637339865
