AREA_m2,BUILDING,SURFACE,TYPE,Xcoor,Xdir,Ycoor,Ydir,Zcoor,Zdir,orientation
145.33148065985006,B004,srf0,walls,371625.950760204,-0.7426750945152802,140388.75370169245,-0.6696519274867502,2.75,0.0,west
98.22300351515878,B004,srf1,walls,371601.50508013944,-0.7196474049544583,140431.27614441738,0.6943396953525803,2.75,-0.0,west
145.33148065985006,B004,srf2,walls,371625.950760204,-0.7426750945152802,140388.75370169245,-0.6696519274867502,6.25,0.0,west
98.22300351515878,B004,srf3,walls,371601.50508013944,-0.7196474049544583,140431.27614441738,0.6943396953525803,6.25,-0.0,west
145.33148065985006,B004,srf4,walls,371625.950760204,-0.7426750945152802,140388.75370169245,-0.6696519274867502,9.75,0.0,west
98.22300351515878,B004,srf5,walls,371601.50508013944,-0.7196474049544583,140431.27614441738,0.6943396953525803,9.75,-0.0,west
145.33148065985006,B004,srf6,walls,371625.950760204,-0.7426750945152802,140388.75370169245,-0.6696519274867502,13.25,0.0,west
98.22300351515878,B004,srf7,walls,371601.50508013944,-0.7196474049544583,140431.27614441738,0.6943396953525803,13.25,-0.0,west
145.33148065985006,B004,srf8,walls,371625.950760204,-0.7426750945152802,140388.75370169245,-0.6696519274867502,16.75,0.0,west
98.22300351515878,B004,srf9,walls,371601.50508013944,-0.7196474049544583,140431.27614441738,0.6943396953525803,16.75,-0.0,west
145.33148065985006,B004,srf10,walls,371625.950760204,-0.7426750945152802,140388.75370169245,-0.6696519274867502,20.25,0.0,west
98.22300351515878,B004,srf11,walls,371601.50508013944,-0.7196474049544583,140431.27614441738,0.6943396953525803,20.25,-0.0,west
145.33148065985006,B004,srf12,walls,371625.950760204,-0.7426750945152802,140388.75370169245,-0.6696519274867502,23.75,0.0,west
98.22300351515878,B004,srf13,walls,371601.50508013944,-0.7196474049544583,140431.27614441738,0.6943396953525803,23.75,-0.0,west
145.33148065985006,B004,srf14,walls,371625.950760204,-0.7426750945152802,140388.75370169245,-0.6696519274867502,27.25,0.0,west
98.22300351515878,B004,srf15,walls,371601.50508013944,-0.7196474049544583,140431.27614441738,0.6943396953525803,27.25,-0.0,west
145.33148065985006,B004,srf16,walls,371625.950760204,-0.7426750945152802,140388.75370169245,-0.6696519274867502,30.75,0.0,west
98.22300351515878,B004,srf17,walls,371601.50508013944,-0.7196474049544583,140431.27614441738,0.6943396953525803,30.75,-0.0,west
145.33148065985006,B004,srf18,walls,371625.950760204,-0.7426750945152802,140388.75370169245,-0.6696519274867502,34.25,0.0,west
98.22300351515878,B004,srf19,walls,371601.50508013944,-0.7196474049544583,140431.27614441738,0.6943396953525803,34.25,-0.0,west
145.33148065985006,B004,srf20,walls,371625.950760204,-0.7426750945152802,140388.75370169245,-0.6696519274867502,37.75,0.0,west
98.22300351515878,B004,srf21,walls,371601.50508013944,-0.7196474049544583,140431.27614441738,0.6943396953525803,37.75,-0.0,west
145.33148065985006,B004,srf22,walls,371625.950760204,-0.7426750945152802,140388.75370169245,-0.6696519274867502,41.25,0.0,west
98.22300351515878,B004,srf23,walls,371601.50508013944,-0.7196474049544583,140431.27614441738,0.6943396953525803,41.25,-0.0,west
145.33148065985006,B004,srf24,walls,371625.950760204,-0.7426750945152802,140388.75370169245,-0.6696519274867502,44.75,0.0,west
98.22300351515878,B004,srf25,walls,371601.50508013944,-0.7196474049544583,140431.27614441738,0.6943396953525803,44.75,-0.0,west
145.33148065985006,B004,srf26,walls,371625.950760204,-0.7426750945152802,140388.75370169245,-0.6696519274867502,48.25,0.0,west
98.22300351515878,B004,srf27,walls,371601.50508013944,-0.7196474049544583,140431.27614441738,0.6943396953525803,48.25,-0.0,west
145.33148065985006,B004,srf28,walls,371625.950760204,-0.7426750945152802,140388.75370169245,-0.6696519274867502,51.75,0.0,west
98.22300351515878,B004,srf29,walls,371601.50508013944,-0.7196474049544583,140431.27614441738,0.6943396953525803,51.75,-0.0,west
145.33148065985006,B004,srf30,walls,371625.950760204,-0.7426750945152802,140388.75370169245,-0.6696519274867502,55.25,0.0,west
98.22300351515878,B004,srf31,walls,371601.50508013944,-0.7196474049544583,140431.27614441738,0.6943396953525803,55.25,-0.0,west
152.19127454461704,B004,srf32,walls,371646.1001999709,0.7426751363091895,140408.2414728534,0.6696518811353604,2.75,-0.0,east
152.19127454461704,B004,srf33,walls,371646.1001999709,0.7426751363091895,140408.2414728534,0.6696518811353604,6.25,-0.0,east
152.19127454461704,B004,srf34,walls,371646.1001999709,0.7426751363091895,140408.2414728534,0.6696518811353604,9.75,-0.0,east
152.19127454461704,B004,srf35,walls,371646.1001999709,0.7426751363091895,140408.2414728534,0.6696518811353604,13.25,-0.0,east
152.19127454461704,B004,srf36,walls,371646.1001999709,0.7426751363091895,140408.2414728534,0.6696518811353604,16.75,-0.0,east
152.19127454461704,B004,srf37,walls,371646.1001999709,0.7426751363091895,140408.2414728534,0.6696518811353604,20.25,-0.0,east
152.19127454461704,B004,srf38,walls,371646.1001999709,0.7426751363091895,140408.2414728534,0.6696518811353604,23.75,-0.0,east
152.19127454461704,B004,srf39,walls,371646.1001999709,0.7426751363091895,140408.2414728534,0.6696518811353604,27.25,-0.0,east
152.19127454461704,B004,srf40,walls,371646.1001999709,0.7426751363091895,140408.2414728534,0.6696518811353604,30.75,-0.0,east
152.19127454461704,B004,srf41,walls,371646.1001999709,0.7426751363091895,140408.2414728534,0.6696518811353604,34.25,-0.0,east
152.19127454461704,B004,srf42,walls,371646.1001999709,0.7426751363091895,140408.2414728534,0.6696518811353604,37.75,-0.0,east
