Ea,Ed,El,Epro,Qcre,Qhpro,Qs,Vw,Vww,X,people,ve
108939.11086,0.0,118191.1656,49427.70885,0.0,0.0,5271.55814,753.8172,661.53696,4429.78988,5690.0,3842.30807
108939.11086,0.0,118191.1656,43788.51911,0.0,0.0,5271.55814,561.35093,472.5264,4429.78988,5690.0,3842.30807
105994.81056,0.0,107845.22151,42743.69626,0.0,0.0,3481.75581,604.50545,535.52992,3060.8249,3691.0,2767.05134
105994.81056,0.0,107845.22151,42743.69626,0.0,0.0,3481.75581,327.26108,252.01408,3060.8249,3691.0,2767.05134
39748.05396,0.0,37897.64301,43132.18098,0.0,0.0,398.30233,196.66284,157.5088,503.51751,346.0,576.94866
10305.05103,0.0,15856.28387,40218.54557,0.0,0.0,0.0,168.02525,157.5088,0.0,0.0,0.0
10305.05103,0.0,15856.28387,35750.97127,0.0,0.0,0.0,145.11518,157.5088,0.0,0.0,0.0
10305.05103,0.0,15856.28387,35750.97127,0.0,0.0,0.0,150.84269,157.5088,0.0,0.0,0.0
10305.05103,0.0,15856.28387,36333.69836,0.0,0.0,0.0,150.84269,157.5088,0.0,0.0,0.0
10305.05103,0.0,15856.28387,36333.69836,0.0,0.0,0.0,145.11518,157.5088,0.0,0.0,0.0
10305.05103,0.0,15856.28387,36333.69836,0.0,0.0,0.0,145.11518,157.5088,0.0,0.0,0.0
17665.80176,0.0,21366.62366,36333.69836,0.0,0.0,0.0,218.43824,252.01408,0.0,0.0,0.0
17665.80176,0.0,21366.62366,50726.11689,0.0,0.0,796.60465,193.99722,220.51232,1007.03502,692.0,1153.89731
47108.80469,0.0,43407.9828,45154.37691,0.0,0.0,1593.2093,550.29217,598.53344,2014.07004,1384.0,2307.79462
138382.11379,0.0,119878.00431,48068.01233,0.0,0.0,8463.09302,987.16864,1102.5616,10251.65759,7574.0,11499.92176
141326.41408,0.0,130223.94839,50593.16302,0.0,0.0,9357.54651,1112.03937,1197.06688,10935.79767,8573.0,12037.28117
145742.86452,0.0,145742.86452,51952.85954,0.0,0.0,12042.69767,1188.02805,1228.56864,12989.58755,11572.0,13650.43521
145742.86452,0.0,145742.86452,51952.85954,0.0,0.0,12042.69767,1475.19651,1480.58273,12989.58755,11572.0,13650.43521
131021.36306,0.0,134722.18495,51370.13246,0.0,0.0,10247.77907,1748.24431,1795.60033,9826.89494,10457.0,9533.15403
145742.86452,0.0,145742.86452,50593.16302,0.0,0.0,13832.5,1669.19373,1701.09505,14358.55253,13571.0,14725.69193
145742.86452,0.0,145742.86452,51370.13246,0.0,0.0,13832.5,1117.37061,1071.05984,14358.55253,13571.0,14725.69193
145742.86452,0.0,145742.86452,53312.55607,0.0,0.0,13832.5,1064.292,1039.55808,14358.55253,13571.0,14725.69193
145742.86452,0.0,145742.86452,52924.07135,0.0,0.0,14727.84884,1338.87075,1386.07744,15043.37743,14571.0,15263.58924
108939.11086,0.0,118191.1656,51952.85954,0.0,0.0,8654.56977,904.65989,819.04576,7812.8249,9073.0,7225.35941
